{'项目': '蜜糖/蝶恋花收CPA', 'QQ': '643795'}
{'项目': '360借条注册', 'QQ': '420906646'}
{'项目': '贷款推广代理平台寻求有量渠道方', 'QQ': '506770450'}
{'项目': '依依（一对一视频聊天）', 'QQ': '395598447'}
{'项目': '贷款超市', 'QQ': '1107299538'}
{'项目': '小说派单', 'QQ': '1448955928'}
{'项目': 'app注册登录', 'QQ': '2401328295'}
{'项目': '附近约爱', 'QQ': '2509015280'}
{'项目': '小说', 'QQ': '2097721548'}
{'项目': '手游平台招代理推广（双端）', 'QQ': '1485522591'}
{'项目': '互联网推广', 'QQ': '1714697718'}
{'项目': '吉品播放器', 'QQ': '71616724'}
{'项目': '小鹿直播', 'QQ': '202744484'}
{'项目': '约爱直播', 'QQ': '202744484'}
{'项目': '约单', 'QQ': '992373880'}
{'项目': '小猫积分墙', 'QQ': '2873014433'}
{'项目': '神之物语', 'QQ': '923958520'}
{'项目': 'app线下推广上海成都郑州长沙', 'QQ': '1216911022'}
{'项目': '58同城实名', 'QQ': '2223566799'}
{'项目': '信用卡产品，寻推广渠道等', 'QQ': '934250628'}
{'项目': '网易BOBO', 'QQ': '43889290'}
{'项目': '038彩票', 'QQ': '531174487'}
{'项目': '贷款产品cpa', 'QQ': '2409208607'}
{'项目': '高佣联盟', 'QQ': '123626880'}
{'项目': 'P2P入金,投资补量', 'QQ': '364788952'}
{'项目': '微寻', 'QQ': '648879673'}
{'项目': '快递惠', 'QQ': '474475743'}
{'项目': '秀色秀场', 'QQ': '2523878833'}
{'项目': '牌乐门', 'QQ': '625218939'}
{'项目': 'e贷导航', 'QQ': '512513568'}
{'项目': '现金贷', 'QQ': '512513568'}
{'项目': '8号游戏', 'QQ': '707991888'}
{'项目': '信用卡自动代还软件', 'QQ': '1527330578'}
{'项目': '嗨秀秀场', 'QQ': '2465067766'}
{'项目': 'app下载注册小程序认证', 'QQ': '1241629334'}
{'项目': '乐嗨', 'QQ': '286497830'}
{'项目': '红人直播', 'QQ': '286497830'}
{'项目': '秀色', 'QQ': '286497830'}
{'项目': '蜜蜂直播', 'QQ': '286497830'}
{'项目': '偷星猫', 'QQ': '3293470060'}
{'项目': '互动广告', 'QQ': '2108193753'}
{'项目': '接微信新增留存支付', 'QQ': '125175067'}
{'项目': '斗米优聘', 'QQ': '362065209'}
{'项目': '红人直播', 'QQ': '2465067766'}
{'项目': '微信多开助手/微粉管家', 'QQ': '2924628643'}
{'项目': '信用卡推广(核卡即可）', 'QQ': '944702224'}
{'项目': '推广找我，保质保量！', 'QQ': '1586406577'}
{'项目': '平安意外出行险    不预付', 'QQ': '1260417615'}
{'项目': '剑舞长生', 'QQ': '208809995'}
{'项目': '捕鱼棋牌产品收各种渠道实力强', 'QQ': '362800129'}
{'项目': '亚奇国际游戏平台', 'QQ': '3170847314'}
{'项目': '帮帮测（算命占卜咨询）', 'QQ': '1002348022'}
{'项目': '微保赠险合作', 'QQ': '84153349'}
{'项目': '微信假聊', 'QQ': '641632348'}
{'项目': '健康到位APP', 'QQ': '1265200442'}
{'项目': '全民管家', 'QQ': '1005474796'}
{'项目': '花有商城日结求车主资源渠道', 'QQ': '2970800947'}
{'项目': '牌客吧', 'QQ': '296070714'}
{'项目': '试玩平台寻求合作', 'QQ': '1448543652'}
{'项目': '交友cps', 'QQ': '376178760'}
{'项目': '波波视频', 'QQ': '516736418'}
{'项目': '任何产品', 'QQ': '2930426932'}
{'项目': '拾金部落', 'QQ': '65402960'}
{'项目': '东方头条唤醒', 'QQ': '2108193753'}
{'项目': '今日头条  唤醒', 'QQ': '2108193753'}
{'项目': '东方头条', 'QQ': '45898505'}
{'项目': 'UU约爱直播', 'QQ': '202744484'}
{'项目': '平安普惠', 'QQ': '1260417615'}
{'项目': '预约吧', 'QQ': '1649361628'}
{'项目': '保险产品H5注册', 'QQ': '79768143'}
{'项目': 'CPD渠道', 'QQ': '2901180189'}
{'项目': '网信理财', 'QQ': '767941862'}
{'项目': '收贷款类自然量', 'QQ': '9116583'}
{'项目': '承接机刷游戏优化注册登录留存', 'QQ': '1424480348'}
{'项目': '国泰君弘', 'QQ': '641632348'}
{'项目': '玖富万卡激活出额', 'QQ': '1132796980'}
{'项目': '企鹅号', 'QQ': '463946743'}
{'项目': '今算盘APP实名注册', 'QQ': '2584259929'}
{'项目': '安卓端手游', 'QQ': '2853207970'}
{'项目': '阴阳师', 'QQ': '875368741'}
{'项目': 'KK直播', 'QQ': '875368741'}
{'项目': '短代', 'QQ': '0'}
{'项目': '推信用卡赚佣金', 'QQ': '361115198'}
{'项目': '推POS机赚佣金', 'QQ': '361115198'}
{'项目': '瑞银信分享版', 'QQ': '395897690'}
{'项目': '恋爱宝典', 'QQ': '907251411'}
{'项目': '淘一卡管家APP', 'QQ': '953739969'}
{'项目': '网信理财 全网最高价', 'QQ': '57051851'}
{'项目': '提供自然流量，线上广告位', 'QQ': '995232829'}
{'项目': '骑战三国', 'QQ': '903919809'}
{'项目': '不朽凡人', 'QQ': '903919809'}
{'项目': '山海经', 'QQ': '903919809'}
{'项目': '游戏棋牌渠道', 'QQ': '794649873'}
{'项目': 'APP下载注册', 'QQ': '980205797'}
{'项目': '应用找付费推广渠道', 'QQ': '1952404166'}
{'项目': '51赚钱', 'QQ': '89758295'}
{'项目': '信用卡进件和核卡', 'QQ': '89758295'}
{'项目': '乐嗨嗨手游注册', 'QQ': '12152457'}
{'项目': '招财锁', 'QQ': '3438265238'}
{'项目': '斗米兼职', 'QQ': '208108741'}
{'项目': '接新增活跃充值等游戏数据优化', 'QQ': '330430666'}
{'项目': '平板租赁', 'QQ': '330430666'}
{'项目': '会员宝', 'QQ': '1105919875'}
{'项目': '金博棋牌', 'QQ': '1520909513'}
{'项目': '闲撩视频聊天软件', 'QQ': '115034945'}
{'项目': '一对一视频聊天APP', 'QQ': '2655573098'}
{'项目': '婚恋交友', 'QQ': '731306247'}
{'项目': '婚恋交友', 'QQ': '731306247'}
{'项目': '十年公司短信渠道', 'QQ': '1244480917'}
{'项目': '数码兽觉醒', 'QQ': '635448148'}
{'项目': '小企鹅乐园', 'QQ': '635448148'}
{'项目': '约钱', 'QQ': '2602899006'}
{'项目': '金博棋牌', 'QQ': '531174487'}
{'项目': '正统三国', 'QQ': '903919809'}
{'项目': '长生诀', 'QQ': '903919809'}
{'项目': '旺旺借条', 'QQ': '635448148'}
{'项目': '发条英雄', 'QQ': '635448148'}
{'项目': '梦想世界3D', 'QQ': '1295208659'}
{'项目': '苍之纪元', 'QQ': '1295208659'}
{'项目': '伟德国际', 'QQ': '1013097423'}
{'项目': '永恒纪元', 'QQ': '903919809'}
{'项目': '传奇世界', 'QQ': '903919809'}
{'项目': '剑猫', 'QQ': '270585849'}
{'项目': '浦发信用卡CPA核卡', 'QQ': '429260418'}
{'项目': '西瓜宝宝APP', 'QQ': '578091895'}
{'项目': '威信电玩城', 'QQ': '188686808'}
{'项目': '95约爱', 'QQ': '37228421'}
{'项目': '乐嗨', 'QQ': '37228421'}
{'项目': '凤凰娱乐-快乐人生', 'QQ': '2115489862'}
{'项目': '叮当快药', 'QQ': '168628127'}
{'项目': '360贷款超市', 'QQ': '334100370'}
{'项目': '百助下载器', 'QQ': '334100370'}
{'项目': '攒钱钱APP', 'QQ': '601294861'}
{'项目': '百科创建', 'QQ': '851416785'}
{'项目': '信用卡进件', 'QQ': '272169323'}
{'项目': '乐嗨', 'QQ': '2523878833'}
{'项目': '在线少儿英语H5落地页推广', 'QQ': '3392056958'}
{'项目': '真爱', 'QQ': '37228421'}
{'项目': '【官方】开心消消乐', 'QQ': '2495453337'}
{'项目': '速易花', 'QQ': '2913695424'}
{'项目': '试玩游戏赚钱', 'QQ': '495689151'}
{'项目': '手机POS机招合伙人', 'QQ': '215522875'}
{'项目': '小树金融', 'QQ': '375209118'}
{'项目': '情泡泡', 'QQ': '3170847314'}
{'项目': '任性付', 'QQ': '702289409'}
{'项目': '95秀', 'QQ': '2523878833'}
{'项目': 'IP变换器', 'QQ': '460140892'}
{'项目': '扫码注册', 'QQ': '308514078'}
{'项目': '乐嗨秀场', 'QQ': '3288768391'}
{'项目': '红人直播', 'QQ': '3288768391'}
{'项目': '蜜疯直播', 'QQ': '3288768391'}
{'项目': '嗨秀秀场', 'QQ': '3288768391'}
{'项目': '乐嗨秀场', 'QQ': '3288768391'}
{'项目': '秀色秀场', 'QQ': '3288768391'}
{'项目': '美团', 'QQ': '28508777925'}
{'项目': '今日必看', 'QQ': '2850811562'}
{'项目': '棋牌手游', 'QQ': '442373012'}
{'项目': '快捷便签', 'QQ': '983650990'}
{'项目': '淘宝客', 'QQ': '3171847314'}
{'项目': '日记', 'QQ': '3171847314'}
{'项目': '9秀', 'QQ': '37228421'}
{'项目': '小树金融', 'QQ': '495689151'}
{'项目': '招聘兼职', 'QQ': '1729989346'}
{'项目': '超高转化交友寻渠道', 'QQ': '422964710'}
{'项目': '神武3', 'QQ': '3004306033'}
{'项目': '嗨秀', 'QQ': '2523878833'}
{'项目': '奢货', 'QQ': '712927900'}
{'项目': 'ios机刷源头', 'QQ': '9117821'}
{'项目': '理财产品寻找渠道，高额返点', 'QQ': '765747058'}
{'项目': '积分墙推游戏', 'QQ': '2224283495'}
{'项目': '精准渠道推广', 'QQ': '183483960'}
{'项目': 'H5棋牌收粉收量', 'QQ': '1393918003'}
{'项目': '红包快手', 'QQ': '834516809'}
{'项目': '同城快约', 'QQ': '37228421'}
{'项目': '红人直播', 'QQ': '2523878833'}
{'项目': '寻爱', 'QQ': '37228421'}
{'项目': '战龙三国', 'QQ': '1083211541'}
{'项目': '芸控', 'QQ': '2454553140'}
{'项目': '任性付40日结', 'QQ': '1743827421'}
{'项目': '大额钱包', 'QQ': '2357226542'}
{'项目': '乐嗨直播通用链接', 'QQ': '12379421'}
{'项目': '95秀', 'QQ': '12379421'}
{'项目': '真爱交友', 'QQ': '12379421'}
{'项目': '腾讯自选股', 'QQ': '1099787206'}
{'项目': '腾讯新闻', 'QQ': '1099787206'}
{'项目': '每日优鲜', 'QQ': '2850877925'}
{'项目': '塔读文学', 'QQ': '2850877925'}
{'项目': '淘宝', 'QQ': '2850877925'}
{'项目': '借了吗', 'QQ': '2850877925'}
{'项目': '免费全本小说书城', 'QQ': '2781212511'}
{'项目': '王者荣耀', 'QQ': '3004306033'}
{'项目': '亿金钱包', 'QQ': '2357226542'}
{'项目': '来得快', 'QQ': '2357226542'}
{'项目': '速米金融', 'QQ': '2357226542'}
{'项目': '云付', 'QQ': '2742577841'}
{'项目': '达人直播  安卓', 'QQ': '2881634940'}
{'项目': '同城求偶', 'QQ': '3450227280'}
{'项目': '缘分吧', 'QQ': '3450227280'}
{'项目': '贷款类产品', 'QQ': '1152651041'}
{'项目': '火球买手', 'QQ': '3004306033'}
{'项目': '元气封神', 'QQ': '3004306033'}
{'项目': '花花白卡', 'QQ': '2357226542'}
{'项目': '三宫六院', 'QQ': '903919809'}
{'项目': '浙商银行-H5纯绑卡', 'QQ': '466960062'}
{'项目': '棋牌游戏', 'QQ': '342028418'}
{'项目': '平安普惠', 'QQ': '3581304409'}
{'项目': '茹珍优品', 'QQ': '823607882'}
{'项目': '爸爸钱包', 'QQ': '2357226542'}
{'项目': '微贷', 'QQ': '0'}
{'项目': '活动申请注册页面推广！', 'QQ': '598921836'}
{'项目': '速易花', 'QQ': '3218919681'}
{'项目': '支付宝、微信收款码B端', 'QQ': '250367777'}
{'项目': '水晶直播', 'QQ': '2523878833'}
{'项目': '喵播', 'QQ': '2523878833'}
{'项目': '派派钱包', 'QQ': '61910465'}
{'项目': '微信多开', 'QQ': '782551871'}
{'项目': '95约爱 安卓', 'QQ': '2881634940'}
{'项目': '95约爱 苹果', 'QQ': '2881634940'}
{'项目': '乐嗨 安卓', 'QQ': '2881634940'}
{'项目': '乐嗨 苹果', 'QQ': '2881634940'}
{'项目': '嗨秀 安卓', 'QQ': '2881634940'}
{'项目': '嗨秀 苹果', 'QQ': '2881634940'}
{'项目': '秀色秀场 安卓', 'QQ': '2881634940'}
{'项目': '秀色秀场 苹果', 'QQ': '2881634940'}
{'项目': '红人直播 安卓', 'QQ': '2881634940'}
{'项目': '红人直播 苹果', 'QQ': '2881634940'}
{'项目': '95美女秀', 'QQ': '2881634940'}
{'项目': '乐嗨 安卓', 'QQ': '2881634940'}
{'项目': '乐嗨 苹果', 'QQ': '2881634940'}
{'项目': '嗨秀 安卓', 'QQ': '2881634940'}
{'项目': '乐嗨 安卓', 'QQ': '2881634940'}
{'项目': '嗨秀 苹果', 'QQ': '2881634940'}
{'项目': '快手', 'QQ': '3076400998'}
{'项目': '搜狗阅读', 'QQ': '3076400998'}
{'项目': '云付APP', 'QQ': '448352230'}
{'项目': '江山美人', 'QQ': '903919809'}
{'项目': '梦幻仙游', 'QQ': '903919809'}
{'项目': '阿拉德之怒', 'QQ': '903919809'}
{'项目': '信而富现金贷', 'QQ': '765747058'}
{'项目': '红人直播 安卓', 'QQ': '2881634940'}
{'项目': '红人直播 苹果', 'QQ': '2881634940'}
{'项目': '秀色秀场 安卓', 'QQ': '2881634940'}
{'项目': '秀色秀场 苹果', 'QQ': '2881634940'}
{'项目': '95约爱 安卓', 'QQ': '2881634940'}
{'项目': '95约爱 苹果', 'QQ': '2881634940'}
{'项目': '乐嗨 安卓', 'QQ': '2881634940'}
{'项目': '乐嗨 苹果', 'QQ': '2881634940'}
{'项目': '嗨秀 安卓', 'QQ': '2881634940'}
{'项目': '嗨秀 苹果', 'QQ': '2881634940'}
{'项目': '容易付', 'QQ': '466960062'}
{'项目': '95约爱 安卓', 'QQ': '2881634940'}
{'项目': '乐嗨 安卓', 'QQ': '2881634940'}
{'项目': '嗨秀 安卓', 'QQ': '2881634940'}
{'项目': '红人直播 安卓', 'QQ': '2881634940'}
{'项目': '95约爱 苹果', 'QQ': '2881634940'}
{'项目': '乐嗨 苹果', 'QQ': '2881634940'}
{'项目': '嗨秀 苹果', 'QQ': '2881634940'}
{'项目': '红人直播 苹果', 'QQ': '2881634940'}
{'项目': '通兑全城', 'QQ': '44020112'}
{'项目': '95约爱 苹果', 'QQ': '2881634940'}
{'项目': '乐嗨 苹果', 'QQ': '2881634940'}
{'项目': '红人直播 苹果', 'QQ': '2881634940'}
{'项目': '优艺直播 安卓', 'QQ': '2881634940'}
{'项目': '小和宝', 'QQ': '3385188207'}
{'项目': '红人直播 苹果', 'QQ': '2881634940'}
{'项目': '95美女秀', 'QQ': '2881634940'}
{'项目': '乐嗨 苹果', 'QQ': '2881634940'}
{'项目': '嗨秀 苹果', 'QQ': '2881634940'}
{'项目': '小树时代', 'QQ': '495689151'}
{'项目': '95约爱 苹果', 'QQ': '2881634940'}
{'项目': '乐嗨', 'QQ': '2881634940'}
{'项目': '95约爱 苹果', 'QQ': '2881634940'}
{'项目': '信而富现金贷', 'QQ': '1828280740'}
{'项目': '红人直播', 'QQ': '2881634940'}
{'项目': '红手指', 'QQ': '3293729583'}
{'项目': '101微游戏', 'QQ': '510272716'}
{'项目': '蜜淘网APP', 'QQ': '823375378'}
{'项目': '苏宁任性付注册申请出额度', 'QQ': '66718915'}
{'项目': '款爷纯申请不会下款版', 'QQ': '3375173063'}
{'项目': '天子', 'QQ': '935456077'}
{'项目': '全民点游', 'QQ': '935456077'}
{'项目': '地推线上新闻APP阅读永久提成', 'QQ': '935456077'}
{'项目': '幺幺玖钱包', 'QQ': '1071939933'}
{'项目': '幺幺玖钱包', 'QQ': '1071939933'}
{'项目': '小7手游', 'QQ': '674227600'}
{'项目': '微信朋友圈小游戏', 'QQ': '935456077'}
{'项目': '暴利CPA', 'QQ': '394499290'}
{'项目': '亚热贷', 'QQ': '1129517280'}
{'项目': '美女cc', 'QQ': '3960135'}
{'项目': '秀吧', 'QQ': '2523878833'}
{'项目': '小树时代', 'QQ': '495689151'}
{'项目': '楠楠约吧（广电局持有直播证）', 'QQ': '896912157'}
{'项目': '欢乐直播', 'QQ': '2523878833'}
{'项目': '现金贷推广A+S、S合作', 'QQ': '765747058'}
{'项目': '年年捕鱼游戏厅', 'QQ': '1317008731'}
{'项目': '小树时代', 'QQ': '495689151'}
{'项目': '小树时代', 'QQ': '375202522'}
{'项目': '95秀', 'QQ': '2463910033'}
{'项目': '红人直播', 'QQ': '2463910033'}
{'项目': '乐嗨', 'QQ': '2463910033'}
{'项目': '北京银联钱包推广', 'QQ': '1485919150'}
{'项目': '王者争雄', 'QQ': '903919809'}
{'项目': '花呗借呗微粒贷提额', 'QQ': '371120800'}
{'项目': '教育地图', 'QQ': '811151992'}
{'项目': '仙侠世界2', 'QQ': '3171847314'}
{'项目': '三国志', 'QQ': '547476484'}
{'项目': '趣聊', 'QQ': '84392495'}
{'项目': '美女视频cps', 'QQ': '544515112'}
{'项目': '美女视频cps', 'QQ': '544515112'}
{'项目': '兵临城下', 'QQ': '903919809'}
{'项目': '群雄逐鹿', 'QQ': '903919809'}
{'项目': '逐鹿中原', 'QQ': '903919809'}
{'项目': '火星圈', 'QQ': '119606019'}
{'项目': '1个用户给3块用PC上注册就行', 'QQ': '80659706'}
{'项目': 'GEC环保创业', 'QQ': '461501404'}
{'项目': '豆豆趣玩app', 'QQ': '1504151465'}
{'项目': '联付app', 'QQ': '1504151465'}
{'项目': '红人点点app', 'QQ': '1504151465'}
{'项目': '支付宝扫码', 'QQ': '190386926'}
{'项目': '今日头条app', 'QQ': '190386926'}
{'项目': '拉趣网', 'QQ': '190386926'}
{'项目': '给你花app', 'QQ': '2950276881'}
{'项目': '分期乐app', 'QQ': '2950276881'}
{'项目': '友宝', 'QQ': '2950276881'}
{'项目': '任性付app', 'QQ': '3174159676'}
{'项目': '链信app', 'QQ': '3174159676'}
{'项目': '今日头条app', 'QQ': '3174159676'}
{'项目': '淘宝推广', 'QQ': '8120161'}
{'项目': '给你花app', 'QQ': '2874095204'}
{'项目': '拉趣网app', 'QQ': '2874095204'}
{'项目': '每日扫码', 'QQ': '2165771908'}
{'项目': '空中入网app', 'QQ': '2165771908'}
{'项目': '交通银行', 'QQ': '2165771908'}
{'项目': '友宝', 'QQ': '2874095204'}
{'项目': '友宝', 'QQ': '3230177211'}
{'项目': '分期乐app', 'QQ': '3230177211'}
{'项目': '给你花app', 'QQ': '3230177211'}
{'项目': '链信app', 'QQ': '2190386926'}
{'项目': 'FPS类网络游戏', 'QQ': '100592175'}
{'项目': '信而富', 'QQ': '470882030'}
{'项目': '豆豆趣玩app', 'QQ': '2190386926'}
{'项目': '联付app', 'QQ': '2190386926'}
{'项目': '苏宁app', 'QQ': '3252140798'}
{'项目': '联付app', 'QQ': '3252140798'}
{'项目': '支付宝扫码', 'QQ': '3252140798'}
{'项目': '联付app', 'QQ': '1304151465'}
{'项目': '拉趣网app', 'QQ': '1304151465'}
{'项目': '龙支付', 'QQ': '1304151465'}
{'项目': '信而富app', 'QQ': '2327857647'}
{'项目': '任性付app', 'QQ': '2327857647'}
{'项目': '豆豆趣玩app', 'QQ': '2327857647'}
{'项目': '链信app', 'QQ': '2253947197'}
{'项目': '指还王app', 'QQ': '2253947197'}
{'项目': '龙猫app', 'QQ': '2253947197'}
{'项目': '给你花app', 'QQ': '370196653'}
{'项目': '联付app', 'QQ': '370196653'}
{'项目': '豆豆趣玩app', 'QQ': '370196653'}
{'项目': '分期乐app', 'QQ': '3331351711'}
{'项目': '钱包管家app', 'QQ': '3331351711'}
{'项目': '给你花app', 'QQ': '3331351711'}
{'项目': '领奇理财', 'QQ': '1014912530'}
{'项目': '美女直播推广', 'QQ': '782162846'}
{'项目': '蜜桃社', 'QQ': '3223757895'}
{'项目': '油白条', 'QQ': '100817859'}
{'项目': '微乐商城', 'QQ': '2597167788'}
{'项目': '密疯直播', 'QQ': '2523878833'}
{'项目': '收付款APP', 'QQ': '208934043'}
{'项目': '国士无双', 'QQ': '903919809'}
{'项目': '大数据APP求安装量', 'QQ': '80659706'}
{'项目': '微猫搜索', 'QQ': '80659706'}
{'项目': '龙岩麻将房卡代理', 'QQ': '80659706'}
{'项目': '浦发信用卡', 'QQ': '80659706'}
{'项目': '微猫企业大数据', 'QQ': '80659706'}
{'项目': '容易付', 'QQ': '2825066977'}
{'项目': '蜜桃社', 'QQ': '3223757895'}
{'项目': '闪电降价', 'QQ': '983897296'}
{'项目': '快快优车', 'QQ': '250015029'}
{'项目': '今日头条', 'QQ': '2327855519'}
{'项目': '购了么', 'QQ': '631902650'}
{'项目': '火了演艺', 'QQ': '912949912'}
{'项目': '蜜桃社', 'QQ': '3223757895'}
{'项目': '纬智联', 'QQ': '532581310'}
{'项目': '彩票app', 'QQ': '1240659934'}
{'项目': 'VR赛车游戏', 'QQ': '3425229434'}
{'项目': '信而富', 'QQ': '1263552032'}
{'项目': '创业战歌', 'QQ': '903919809'}
{'项目': '热血传奇', 'QQ': '903919809'}
{'项目': '菜鸟棋牌', 'QQ': '1475089695'}
{'项目': '蜜汁直播', 'QQ': '223757895'}
{'项目': '诛仙', 'QQ': '903919809'}
{'项目': '梦幻诛仙', 'QQ': '903919809'}
{'项目': '天龙八部', 'QQ': '903919809'}
{'项目': '陌陌', 'QQ': '2327855519'}
{'项目': '神印王座', 'QQ': '18288013'}
{'项目': '信用卡（推广）补贴提升', 'QQ': '1070951577'}
{'项目': '品恋', 'QQ': '1210799776'}
{'项目': '蜜桃社', 'QQ': '3223757895'}
{'项目': 'QQ管家', 'QQ': '455395718'}
{'项目': '外汇理财', 'QQ': '1741204455'}
{'项目': '手盟易赚', 'QQ': '1399583126'}
{'项目': '超级马里奥酷跑', 'QQ': '14007708'}
{'项目': '蜜桃社', 'QQ': '3223757895'}
{'项目': '广州汽车众筹理财平台', 'QQ': '870879814'}
{'项目': '蜜桃奢', 'QQ': '3223757895'}
{'项目': '优才，白领贷', 'QQ': '2464337369'}
{'项目': '平安i贷', 'QQ': '13251012949'}
{'项目': '360借条', 'QQ': '13251012949'}
{'项目': '懒腰APP', 'QQ': '2601039544'}
{'项目': '奖中奖', 'QQ': '1767836'}
{'项目': '蜀志ios', 'QQ': '903919809'}
{'项目': '铁血霸业', 'QQ': '903919809'}
{'项目': '暗黑战歌', 'QQ': '903919809'}
{'项目': '欢乐真人麻将', 'QQ': '4439278'}
{'项目': '蜜桃社', 'QQ': '3223757895'}
{'项目': '单身恋恋', 'QQ': '421019295'}
{'项目': '支付宝收钱码商户推广', 'QQ': '1485919150'}
{'项目': '中国建设银行龙之付商户拓展', 'QQ': '1485919150'}
{'项目': '宇宙直播', 'QQ': '791450326'}
{'项目': '蜜桃社', 'QQ': '3223757895'}
{'项目': '东方财富证券', 'QQ': '28946183'}
{'项目': '平安信用卡大批量推广（全国单）', 'QQ': '1989196699'}
{'项目': '五行天', 'QQ': '903919809'}
{'项目': '神话永恒手游', 'QQ': '903919809'}
{'项目': '信而富', 'QQ': '809688372'}
{'项目': '飞行之翼', 'QQ': '3004851926'}
{'项目': '信而富现金贷', 'QQ': '809688372'}
{'项目': '东方头条H5', 'QQ': '921451060'}
{'项目': '航海王启航', 'QQ': '903919809'}
{'项目': '贷款产品，寻后付渠道，无预付', 'QQ': '1300104218'}
{'项目': '星悦直播广告推广', 'QQ': '3225108498'}
{'项目': '手机秒达营业厅/刷赚', 'QQ': '172283415'}
{'项目': '深橙直播', 'QQ': '3345810583'}
{'项目': '淘宝', 'QQ': '1141314023'}
{'项目': '李强365', 'QQ': '975798510'}
{'项目': '返利锦', 'QQ': '582814401'}
{'项目': '年轻人的消费借款', 'QQ': '1877312796'}
{'项目': '小树金融', 'QQ': '375209118'}
{'项目': '小树时代', 'QQ': '373716590'}
{'项目': '全国信贷', 'QQ': '1573174142'}
{'项目': '手机百度', 'QQ': '3055404140'}
{'项目': '魔伴桌面', 'QQ': '2880263946'}
{'项目': '网趣游戏', 'QQ': '11921373'}
{'项目': '影之刃2', 'QQ': '903919809'}
{'项目': '2345浏览器', 'QQ': '1849773779'}
{'项目': '爱信钱包APP', 'QQ': '1013654595'}
{'项目': '爱信钱包', 'QQ': '1013654595'}
{'项目': '蘑菇街', 'QQ': '1849773779'}
{'项目': '360卫士', 'QQ': '1849773779'}
{'项目': '高德地图', 'QQ': '1849773779'}
{'项目': '美团', 'QQ': '1849773779'}
{'项目': '腾讯动漫', 'QQ': '1849773779'}
{'项目': '易集分', 'QQ': '1849773779'}
{'项目': '求学宝—高考志愿填报', 'QQ': '270552663'}
{'项目': '豌豆荚', 'QQ': '1849773779'}
{'项目': '安淘|淘宝天猫内部优惠券', 'QQ': '445527254'}
{'项目': '百乐电玩', 'QQ': '2232763578'}
{'项目': '体坛+app', 'QQ': '1277848421'}
{'项目': '抢先贷 优才贷', 'QQ': '2464337369'}
{'项目': '蓝月传奇', 'QQ': '903919809'}
{'项目': '疯牛直播', 'QQ': '458465931'}
{'项目': '悦来游戏', 'QQ': '287777896'}
{'项目': '苏宁‘任性付’APP申请', 'QQ': '406589973'}
{'项目': '神韵牛牛【房卡类】', 'QQ': '1038867792'}
{'项目': '年轻人的消费借款', 'QQ': '2464337369'}
{'项目': '年轻人的消费借款', 'QQ': '2464337369'}
{'项目': '群友斗地主', 'QQ': '2309934217'}
{'项目': '超变刀刀爆', 'QQ': '3055404140'}
{'项目': '御仙剑心', 'QQ': '3055404140'}
{'项目': '小树时代', 'QQ': '642040383'}
{'项目': '鹊桥之恋', 'QQ': '413641346'}
{'项目': '鹊桥在线', 'QQ': '413641346'}
{'项目': '小树贷款', 'QQ': '2539200912'}
{'项目': '小树金融', 'QQ': '375209'}
{'项目': '年轻人的消费借款', 'QQ': '2464337369'}
{'项目': '手机号码定位APP-哪儿呢', 'QQ': '2329128546'}
{'项目': '手机号码定位APP——哪儿呢', 'QQ': '2329128546'}
{'项目': '百度外卖', 'QQ': '1119446280'}
{'项目': '云付', 'QQ': '1848983141'}
{'项目': '手机百度', 'QQ': '3308524559'}
{'项目': '零钱罐', 'QQ': '1491301483'}
{'项目': '小枕头', 'QQ': '2322405297'}
{'项目': '小枕头', 'QQ': '2322405297'}
{'项目': '寂寞同城聊', 'QQ': '273153910'}
{'项目': '魔伴桌面', 'QQ': '2855640'}
{'项目': '花无缺有效贷款用户', 'QQ': '2970800947'}
{'项目': '城市云管家', 'QQ': '877831433'}
{'项目': '搜狗阅读', 'QQ': '2327855519'}
{'项目': '皇家棋牌', 'QQ': '1725249941'}
{'项目': '信而富现金贷APP', 'QQ': '1750324612'}
{'项目': '【信而富】现金贷', 'QQ': '1750324612'}
{'项目': '齐齐直播', 'QQ': '258134092'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '91直播', 'QQ': '258134092'}
{'项目': '一直播', 'QQ': '258134092'}
{'项目': '新天游戏', 'QQ': '979807068'}
{'项目': '建行龙支付', 'QQ': '358623439'}
{'项目': '建行龙支付', 'QQ': '358623439'}
{'项目': '新浪微博', 'QQ': '2382324605'}
{'项目': '纯注册', 'QQ': '717975937'}
{'项目': '【信而富】现金贷APP', 'QQ': '1750324612'}
{'项目': '信而富现金贷', 'QQ': '1750324612'}
{'项目': '【信而富】现金贷APP', 'QQ': '1750324612'}
{'项目': '腾讯动漫', 'QQ': '274015553'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '千款手游自动折扣APP', 'QQ': '83221156'}
{'项目': '浦发银行信用卡', 'QQ': '79516864'}
{'项目': '蘑菇街', 'QQ': '544005344'}
{'项目': '微信多开', 'QQ': '2550387182'}
{'项目': '微信多开助手', 'QQ': '2550387182'}
{'项目': '机友精灵', 'QQ': '2550387182'}
{'项目': '一元购', 'QQ': '1121723108'}
{'项目': '京东派校园推广', 'QQ': '643718565'}
{'项目': '瓜牛钱包', 'QQ': '1426021046'}
{'项目': '瓜牛钱包', 'QQ': '1426021046'}
